sctbench.cs.origin.Sync02Bad,pct3,0
sctbench.cs.origin.Sync02Bad,pct10,0
sctbench.cs.origin.Sync02Bad,pct50,0
sctbench.cs.origin.Sync02Bad,pct100,0
sctbench.cs.origin.Sync02Bad,pos,0
sctbench.cs.origin.Sync02Bad,random,0
sctbench.cs.origin.Reorder3Bad,pct3,-1
sctbench.cs.origin.Reorder3Bad,pct10,-1
sctbench.cs.origin.Reorder3Bad,pct50,-1
sctbench.cs.origin.Reorder3Bad,pct100,-1
sctbench.cs.origin.Reorder3Bad,pos,-1
sctbench.cs.origin.Reorder3Bad,random,-1
sctbench.cs.origin.WronglockBad,pct3,-1
sctbench.cs.origin.WronglockBad,pct10,-1
sctbench.cs.origin.WronglockBad,pct50,-1
sctbench.cs.origin.WronglockBad,pct100,-1
sctbench.cs.origin.WronglockBad,pos,-1
sctbench.cs.origin.WronglockBad,random,-1
sctbench.cs.origin.Deadlock01Bad,pct3,1
sctbench.cs.origin.Deadlock01Bad,pct10,2
sctbench.cs.origin.Deadlock01Bad,pct50,-1
sctbench.cs.origin.Deadlock01Bad,pct100,-1
sctbench.cs.origin.Deadlock01Bad,pos,2
sctbench.cs.origin.Deadlock01Bad,random,0
sctbench.cs.origin.Reorder20Bad,pct3,-1
sctbench.cs.origin.Reorder20Bad,pct10,-1
sctbench.cs.origin.Reorder20Bad,pct50,-1
sctbench.cs.origin.Reorder20Bad,pct100,-1
sctbench.cs.origin.Reorder20Bad,pos,-1
sctbench.cs.origin.Reorder20Bad,random,-1
sctbench.cs.origin.FsbenchBad,pct3,0
sctbench.cs.origin.FsbenchBad,pct10,0
sctbench.cs.origin.FsbenchBad,pct50,0
sctbench.cs.origin.FsbenchBad,pct100,0
sctbench.cs.origin.FsbenchBad,pos,0
sctbench.cs.origin.FsbenchBad,random,0
sctbench.cs.origin.Lazy01Bad,pct3,1
sctbench.cs.origin.Lazy01Bad,pct10,1
sctbench.cs.origin.Lazy01Bad,pct50,0
sctbench.cs.origin.Lazy01Bad,pct100,1
sctbench.cs.origin.Lazy01Bad,pos,1
sctbench.cs.origin.Lazy01Bad,random,1
sctbench.cs.origin.QueueBad,pct3,6
sctbench.cs.origin.QueueBad,pct10,1
sctbench.cs.origin.QueueBad,pct50,9
sctbench.cs.origin.QueueBad,pct100,0
sctbench.cs.origin.QueueBad,pos,0
sctbench.cs.origin.QueueBad,random,0
sctbench.cs.origin.BluetoothDriverBad,pct3,1
sctbench.cs.origin.BluetoothDriverBad,pct10,1
sctbench.cs.origin.BluetoothDriverBad,pct50,1
sctbench.cs.origin.BluetoothDriverBad,pct100,0
sctbench.cs.origin.BluetoothDriverBad,pos,0
sctbench.cs.origin.BluetoothDriverBad,random,0
sctbench.cs.origin.CircularBufferBad,pct3,0
sctbench.cs.origin.CircularBufferBad,pct10,1
sctbench.cs.origin.CircularBufferBad,pct50,-1
sctbench.cs.origin.CircularBufferBad,pct100,-1
sctbench.cs.origin.CircularBufferBad,pos,0
sctbench.cs.origin.CircularBufferBad,random,0
sctbench.cs.origin.Sync01Bad,pct3,0
sctbench.cs.origin.Sync01Bad,pct10,0
sctbench.cs.origin.Sync01Bad,pct50,0
sctbench.cs.origin.Sync01Bad,pct100,0
sctbench.cs.origin.Sync01Bad,pos,0
sctbench.cs.origin.Sync01Bad,random,0
sctbench.cs.origin.TwostageBad,pct3,9
sctbench.cs.origin.TwostageBad,pct10,14
sctbench.cs.origin.TwostageBad,pct50,-1
sctbench.cs.origin.TwostageBad,pct100,-1
sctbench.cs.origin.TwostageBad,pos,1
sctbench.cs.origin.TwostageBad,random,0
sctbench.cs.origin.Twostage100Bad,pct3,4117
sctbench.cs.origin.Twostage100Bad,pct10,3934
sctbench.cs.origin.Twostage100Bad,pct50,101
sctbench.cs.origin.Twostage100Bad,pct100,815
sctbench.cs.origin.Twostage100Bad,pos,22
sctbench.cs.origin.Twostage100Bad,random,532
sctbench.cs.origin.TokenRingBad,pct3,0
sctbench.cs.origin.TokenRingBad,pct10,2
sctbench.cs.origin.TokenRingBad,pct50,2
sctbench.cs.origin.TokenRingBad,pct100,0
sctbench.cs.origin.TokenRingBad,pos,2
sctbench.cs.origin.TokenRingBad,random,1
sctbench.cs.origin.StackBad,pct3,0
sctbench.cs.origin.StackBad,pct10,1
sctbench.cs.origin.StackBad,pct50,0
sctbench.cs.origin.StackBad,pct100,1
sctbench.cs.origin.StackBad,pos,0
sctbench.cs.origin.StackBad,random,1
sctbench.cs.origin.Reorder4Bad,pct3,-1
sctbench.cs.origin.Reorder4Bad,pct10,-1
sctbench.cs.origin.Reorder4Bad,pct50,-1
sctbench.cs.origin.Reorder4Bad,pct100,-1
sctbench.cs.origin.Reorder4Bad,pos,-1
sctbench.cs.origin.Reorder4Bad,random,-1
sctbench.cs.origin.Reorder10Bad,pct3,-1
sctbench.cs.origin.Reorder10Bad,pct10,-1
sctbench.cs.origin.Reorder10Bad,pct50,-1
sctbench.cs.origin.Reorder10Bad,pct100,-1
sctbench.cs.origin.Reorder10Bad,pos,-1
sctbench.cs.origin.Reorder10Bad,random,-1
sctbench.cs.origin.Reorder5Bad,pct3,-1
sctbench.cs.origin.Reorder5Bad,pct10,-1
sctbench.cs.origin.Reorder5Bad,pct50,-1
sctbench.cs.origin.Reorder5Bad,pct100,-1
sctbench.cs.origin.Reorder5Bad,pos,-1
sctbench.cs.origin.Reorder5Bad,random,-1
sctbench.cs.origin.Wronglock3Bad,pct3,-1
sctbench.cs.origin.Wronglock3Bad,pct10,-1
sctbench.cs.origin.Wronglock3Bad,pct50,-1
sctbench.cs.origin.Wronglock3Bad,pct100,-1
sctbench.cs.origin.Wronglock3Bad,pos,-1
sctbench.cs.origin.Wronglock3Bad,random,-1
sctbench.cs.origin.Wronglock1Bad,pct3,-1
sctbench.cs.origin.Wronglock1Bad,pct10,-1
sctbench.cs.origin.Wronglock1Bad,pct50,-1
sctbench.cs.origin.Wronglock1Bad,pct100,-1
sctbench.cs.origin.Wronglock1Bad,pos,-1
sctbench.cs.origin.Wronglock1Bad,random,-1
sctbench.cs.origin.Phase01Bad,pct3,0
sctbench.cs.origin.Phase01Bad,pct10,0
sctbench.cs.origin.Phase01Bad,pct50,0
sctbench.cs.origin.Phase01Bad,pct100,0
sctbench.cs.origin.Phase01Bad,pos,0
sctbench.cs.origin.Phase01Bad,random,0
sctbench.cs.origin.AccountBad,pct3,0
sctbench.cs.origin.AccountBad,pct10,1
sctbench.cs.origin.AccountBad,pct50,1
sctbench.cs.origin.AccountBad,pct100,0
sctbench.cs.origin.AccountBad,pos,1
sctbench.cs.origin.AccountBad,random,1
sctbench.cs.origin.Carter01Bad,pct3,0
sctbench.cs.origin.Carter01Bad,pct10,1
sctbench.cs.origin.Carter01Bad,pct50,-1
sctbench.cs.origin.Carter01Bad,pct100,0
sctbench.cs.origin.Carter01Bad,pos,0
sctbench.cs.origin.Carter01Bad,random,1
sctbench.cs.origin.ArithmeticProgBad,pct3,0
sctbench.cs.origin.ArithmeticProgBad,pct10,0
sctbench.cs.origin.ArithmeticProgBad,pct50,0
sctbench.cs.origin.ArithmeticProgBad,pct100,0
sctbench.cs.origin.ArithmeticProgBad,pos,0
sctbench.cs.origin.ArithmeticProgBad,random,0
